date,China,Italy
1/22/20,548,0
1/23/20,643,0
1/24/20,920,0
1/25/20,1406,0
1/26/20,2075,0
1/27/20,2877,0
1/28/20,5509,0
1/29/20,6087,0
1/30/20,8141,0
1/31/20,9802,2
2/1/20,11891,2
2/2/20,16630,2
2/3/20,19716,2
2/4/20,23707,2
2/5/20,27440,2
2/6/20,30587,2
2/7/20,34110,3
2/8/20,36814,3
2/9/20,39829,3
2/10/20,42354,3
2/11/20,44386,3
2/12/20,44759,3
2/13/20,59895,3
2/14/20,66358,3
2/15/20,68413,3
2/16/20,70513,3
2/17/20,72434,3
2/18/20,74211,3
2/19/20,74619,3
2/20/20,75077,3
2/21/20,75550,20
2/22/20,77001,62
2/23/20,77022,155
2/24/20,77241,229
2/25/20,77754,322
2/26/20,78166,453
2/27/20,78600,655
2/28/20,78928,888
2/29/20,79356,1128
3/1/20,79932,1694
3/2/20,80136,2036
3/3/20,80261,2502
3/4/20,80386,3089
3/5/20,80537,3858
3/6/20,80690,4636
3/7/20,80770,5883
3/8/20,80823,7375
3/9/20,80860,9172
3/10/20,80887,10149
3/11/20,80921,12462
3/12/20,80932,12462
3/13/20,80945,17660
3/14/20,80977,21157
3/15/20,81003,24747
3/16/20,81033,27980
3/17/20,81058,31506
3/18/20,81102,35713
3/19/20,81156,41035
3/20/20,81250,47021
3/21/20,81305,53578
3/22/20,81435,59138
3/23/20,81498,63927
3/24/20,81591,69176
3/25/20,81661,74386
3/26/20,81782,80589
3/27/20,81897,86498
3/28/20,81999,92472
3/29/20,82122,97689
3/30/20,82198,101739
3/31/20,82279,105792
4/1/20,82361,110574
4/2/20,82432,115242
